bowler,balls,total_runs,economy,wickets
Sohail Tanvir,265,275,6.23,24.0
A Chandila,234,245,6.28,11.0
SM Pollock,280,307,6.58,13.0
A Kumble,983,1089,6.65,49.0
GD McGrath,329,366,6.67,14.0
M Muralitharan,1581,1765,6.7,67.0
J Yadav,398,447,6.74,9.0
SP Narine,4146,4672,6.76,200.0
DW Steyn,2282,2583,6.79,105.0
RE van der Merwe,455,515,6.79,25.0
DL Vettori,785,894,6.83,34.0
R Rampaul,278,319,6.88,17.0
Rashid Khan,2901,3340,6.91,157.0
J Botha,709,818,6.92,27.0
MJ Santner,370,428,6.94,16.0
R Ashwin,4679,5435,6.97,198.0
MM Ali,770,900,7.01,40.0
SL Malinga,2974,3486,7.03,188.0
Harbhajan Singh,3496,4101,7.04,161.0
AD Mascarenhas,310,365,7.06,19.0
R Sharma,935,1100,7.06,42.0
DP Nannes,689,815,7.1,38.0
Iqbal Abdulla,943,1125,7.16,45.0
DE Bollinger,600,716,7.16,43.0
AG Murtaza,269,322,7.18,12.0
SK Warne,1223,1465,7.19,60.0
M Kartik,1182,1418,7.2,39.0
JJ Bumrah,3185,3840,7.23,182.0
MF Maharoof,441,532,7.24,33.0
M Ntini,213,257,7.24,8.0
JP Duminy,701,847,7.25,23.0
Ankit Sharma,375,453,7.25,12.0
KH Pandya,2183,2644,7.27,80.0
AR Patel,3152,3824,7.28,131.0
RR Powar,443,538,7.29,15.0
A Mishra,3444,4193,7.3,183.0
YK Pathan,1184,1443,7.31,46.0
SK Raina,930,1139,7.35,30.0
M Pathirana,503,617,7.36,38.0
JC Archer,987,1210,7.36,49.0
CRD Fernando,249,306,7.37,19.0
B Lee,916,1126,7.38,30.0
Shakib Al Hasan,1515,1864,7.38,71.0
PP Ojha,1945,2399,7.4,99.0
BAW Mendis,248,306,7.4,9.0
Yuvraj Singh,882,1091,7.42,39.0
R Bhatia,1661,2059,7.44,82.0
B Kumar,4060,5051,7.46,195.0
S Nadeem,1444,1800,7.48,54.0
STR Binny,611,763,7.49,28.0
SK Trivedi,1557,1944,7.49,73.0
SW Tait,534,668,7.51,26.0
SB Styris,222,278,7.51,9.0
S Badree,263,329,7.51,11.0
DJ Willey,221,277,7.52,7.0
MM Patel,1382,1733,7.52,82.0
RJ Harris,865,1085,7.53,47.0
GB Hogg,466,585,7.53,25.0
Washington Sundar,1064,1335,7.53,39.0
CV Varun,1624,2042,7.54,85.0
M Morkel,1699,2136,7.54,88.0
Z Khan,2276,2860,7.54,119.0
Mohammad Nabi,419,527,7.55,15.0
NM Coulter-Nile,892,1125,7.57,52.0
RA Jadeja,3895,4917,7.57,169.0
VS Malik,212,268,7.58,6.0
WPUJC Vaas,288,364,7.58,22.0
P Kumar,2637,3342,7.6,102.0
AC Thomas,327,416,7.63,16.0
BW Hilfenhaus,390,497,7.65,23.0
RD Chahar,1697,2165,7.65,76.0
Ravi Bishnoi,1460,1861,7.65,68.0
WD Parnell,758,968,7.66,40.0
Azhar Mahmood,552,707,7.68,31.0
IK Pathan,2113,2711,7.7,99.0
SR Watson,2137,2742,7.7,107.0
A Nehra,1974,2537,7.71,121.0
DL Chahar,1746,2243,7.71,79.0
Sandeep Sharma,2925,3758,7.71,153.0
A Symonds,540,694,7.71,23.0
PV Tambe,674,866,7.71,28.0
S Sreesanth,947,1221,7.74,43.0
Imran Tahir,1340,1729,7.74,86.0
R Tewatia,866,1117,7.74,36.0
RP Singh,1874,2417,7.74,100.0
YS Chahal,3628,4681,7.74,213.0
M Theekshana,631,814,7.74,25.0
CH Gayle,584,755,7.76,19.0
IC Pandey,469,609,7.79,19.0
Harmeet Singh,574,747,7.81,31.0
P Negi,733,954,7.81,38.0
MN Samuels,219,285,7.81,10.0
JD Ryder,241,314,7.82,11.0
BJ Hodge,238,310,7.82,18.0
JH Kallis,1799,2348,7.83,74.0
Noor Ahmad,513,672,7.86,24.0
KP Appanna,222,291,7.86,11.0
Harpreet Brar,692,907,7.86,25.0
ST Jayasuriya,301,396,7.89,16.0
A Singh,486,639,7.89,31.0
KK Cooper,600,789,7.89,36.0
M Ashwin,898,1182,7.9,35.0
CH Morris,1801,2377,7.92,107.0
SC Ganguly,280,370,7.93,12.0
A Zampa,425,562,7.93,30.0
DT Christian,922,1218,7.93,40.0
J Theron,235,311,7.94,13.0
L Balaji,1574,2083,7.94,85.0
Mujeeb Ur Rahman,452,598,7.94,20.0
RG Sharma,349,462,7.94,16.0
AB Dinda,1589,2103,7.94,82.0
Mustafizur Rahman,1353,1792,7.95,70.0
C Sakariya,460,610,7.96,20.0
PP Chawla,3895,5179,7.98,201.0
R Dhawan,693,922,7.98,27.0
MC Henriques,979,1302,7.98,46.0
AA Chavan,255,339,7.98,8.0
V Shankar,258,344,8.0,12.0
Bipul Sharma,436,581,8.0,22.0
JA Morkel,1807,2409,8.0,96.0
JR Hazlewood,622,830,8.01,36.0
MA Starc,879,1175,8.02,59.0
MG Johnson,1301,1740,8.02,66.0
SB Jakati,1101,1474,8.03,50.0
TM Dilshan,275,368,8.03,5.0
I Sharma,2429,3255,8.04,96.0
DS Kulkarni,1876,2513,8.04,91.0
S Aravind,788,1057,8.05,48.0
L Ngidi,342,460,8.07,28.0
DJ Bravo,3296,4436,8.08,207.0
BA Bhatt,303,408,8.08,13.0
Kuldeep Yadav,1786,2413,8.11,90.0
AM Nayar,239,323,8.11,9.0
P Awana,774,1046,8.11,43.0
TA Boult,2428,3286,8.12,128.0
MR Marsh,593,803,8.12,37.0
AD Mathews,807,1095,8.14,28.0
DR Sams,389,528,8.14,15.0
S Gopal,1000,1358,8.15,53.0
GJ Maxwell,965,1311,8.15,41.0
PWH de Silva,557,758,8.17,36.0
Parvez Rasool,200,273,8.19,4.0
MJ McClenaghan,1346,1839,8.2,75.0
Mohsin Khan,507,698,8.26,27.0
K Gowtham,599,825,8.26,22.0
S Tyagi,220,304,8.29,6.0
Mohammed Shami,2521,3486,8.3,144.0
KA Pollard,1586,2200,8.32,81.0
K Kartikeya,241,334,8.32,10.0
KW Richardson,345,479,8.33,21.0
K Rabada,1907,2652,8.34,126.0
Mohammed Siraj,2081,2894,8.34,96.0
R Vinay Kumar,2186,3041,8.35,127.0
UT Yadav,3190,4442,8.35,163.0
J Suchith,434,604,8.35,20.0
DJ Hooda,384,535,8.36,10.0
Shivam Mavi,687,958,8.37,33.0
PJ Sangwan,905,1267,8.4,44.0
YA Abdulla,222,311,8.41,15.0
KV Sharma,1520,2130,8.41,82.0
C de Grandhomme,230,323,8.43,7.0
V Kohli,264,371,8.43,5.0
TG Southee,1262,1774,8.43,57.0
LR Shukla,326,458,8.43,17.0
S Lamichhane,211,297,8.45,14.0
AJ Tye,714,1005,8.45,48.0
HV Patel,2284,3215,8.45,151.0
NT Ellis,365,514,8.45,19.0
RS Bopara,213,301,8.48,13.0
BA Stokes,723,1023,8.49,31.0
M Prasidh Krishna,1231,1741,8.49,54.0
Navdeep Saini,682,968,8.52,26.0
MM Sharma,2308,3278,8.52,147.0
JO Holder,1049,1489,8.52,59.0
V Pratap Singh,211,300,8.53,12.0
AN Ahmed,362,515,8.54,15.0
MS Gony,925,1317,8.54,39.0
VY Mahesh,359,511,8.54,22.0
Abhishek Sharma,278,396,8.55,11.0
KK Ahmed,1345,1918,8.56,78.0
T Natarajan,1401,2001,8.57,76.0
VG Arora,418,598,8.58,20.0
S Kaul,1238,1772,8.59,63.0
AB Agarkar,820,1174,8.59,33.0
VR Aaron,1065,1527,8.6,46.0
JP Faulkner,1287,1849,8.62,76.0
NLTC Perera,715,1031,8.65,37.0
PJ Cummins,1370,1976,8.65,66.0
Arshdeep Singh,1453,2097,8.66,84.0
CR Brathwaite,266,384,8.66,16.0
Suyash Sharma,264,381,8.66,11.0
J Little,236,341,8.67,13.0
JL Pattinson,222,321,8.68,11.0
Avesh Khan,1390,2010,8.68,81.0
LH Ferguson,1002,1451,8.69,57.0
S Kaushik,210,304,8.69,6.0
DJG Sammy,244,354,8.7,14.0
SJ Srivastava,306,444,8.71,15.0
CR Woakes,463,674,8.73,31.0
D Wiese,307,447,8.74,17.0
C Green,462,675,8.77,20.0
Lalit Yadav,294,430,8.78,11.0
Harshit Rana,403,590,8.78,27.0
M Markande,737,1081,8.8,37.0
JD Unadkat,2194,3219,8.8,109.0
SN Thakur,1979,2908,8.82,100.0
A Nortje,1097,1614,8.83,62.0
Naveen-ul-Haq,407,602,8.87,26.0
Anureet Singh,430,636,8.87,21.0
HH Pandya,1485,2196,8.87,70.0
VRV Singh,371,549,8.88,16.0
LS Livingstone,267,395,8.88,11.0
DR Smith,557,825,8.89,27.0
A Ashish Reddy,270,400,8.89,19.0
JDP Oram,244,362,8.9,13.0
JP Behrendorff,379,563,8.91,22.0
BB Sran,516,767,8.92,20.0
PVD Chameera,297,442,8.93,11.0
AS Rajpoot,567,844,8.93,24.0
BCJ Cutting,288,430,8.96,12.0
RP Meredith,415,621,8.98,21.0
R McLaren,372,558,9.0,14.0
HR Shokeen,213,320,9.01,5.0
DJ Hussey,323,485,9.01,10.0
M Jansen,487,732,9.02,22.0
Umran Malik,519,785,9.08,31.0
Yash Dayal,615,933,9.1,31.0
Mukesh Choudhary,298,452,9.1,16.0
Karanveer Singh,213,323,9.1,14.0
Pankaj Singh,311,472,9.11,11.0
AD Russell,1771,2691,9.12,125.0
Y Venugopal Rao,222,338,9.14,7.0
JR Hopes,369,562,9.14,14.0
A Mithun,312,477,9.17,8.0
TU Deshpande,831,1275,9.21,46.0
JDS Neesham,222,342,9.24,8.0
Akash Madhwal,279,431,9.27,22.0
Joginder Sharma,272,421,9.29,13.0
Shahbaz Ahmed,549,850,9.29,21.0
CJ Jordan,717,1111,9.3,36.0
KR Sen,255,396,9.32,14.0
AS Joseph,454,707,9.34,22.0
SM Curran,1234,1924,9.35,62.0
KC Cariappa,224,349,9.35,8.0
AF Milne,217,339,9.37,9.0
MP Stoinis,831,1300,9.39,45.0
Kartik Tyagi,458,720,9.43,16.0
Basil Thampi,539,862,9.6,26.0
TS Mills,218,349,9.61,11.0
Yash Thakur,432,702,9.75,27.0
Vijaykumar Vyshak,243,396,9.78,17.0
Rasikh Salam,207,341,9.88,9.0
G Coetzee,216,357,9.92,13.0
CJ Anderson,315,525,10.0,14.0
Mukesh Kumar,420,707,10.1,31.0
TK Curran,252,432,10.29,13.0
